contrastBright,scaleBright,contrastDark,scaleDark,fontSizeHeader,fontSizeContent,lineHeight,fontFamily,fontWeight,_id
1.81,0.5,2.13,0.44,24,18,30,黑体,300,6270f9cf96f14ef90e1038f2
1.96,0.47,1.81,0.5,24,18,30,黑体,300,6270f9e696f14ef90e1038f3
1.96,0.47,1.81,0.5,24,18,30,黑体,300,6270f9e696f14ef90e1038f4
21,0,21,0,20,19,25,黑体,300,6270f9ed96f14ef90e1038f5
8.43,0.1,7.31,0.12,32,25,30,黑体,300,6270f9ee96f14ef90e1038f6
2,0.5,2,0.5,24,18,30,黑体,300,6270f9ef96f14ef90e1038f7
2.91,0.34,1.81,0.5,24,20,30,黑体,300,6270fa0a96f14ef90e1038f8
1.42,0.59,1.4,0.6,11,11,41,黑体,300,6270fa1596f14ef90e1038f9
3.2,0.31,3.33,0.3,54,32,71,黑体,700,6270fa1b96f14ef90e1038fa
2,0.5,2,0.5,24,18,30,黑体,300,6270fa1e96f14ef90e1038fb
8.43,0.1,7.31,0.12,32,25,30,黑体,300,6270fa2e96f14ef90e1038fc
2.91,0.34,1.81,0.5,24,20,30,黑体,300,6270fa3a96f14ef90e1038fd
2.91,0.34,1.81,0.5,24,20,30,黑体,300,6270fa3a96f14ef90e1038fe
1.81,0.5,2.13,0.44,24,18,30,黑体,300,6270fa4296f14ef90e1038ff
5.41,0.18,4.87,0.2,30,33,48,黑体,700,6270fa5396f14ef90e103900
1.01,0.73,1.01,0.73,100,100,120,黑体,700,6270fa5396f14ef90e103901
2.65,0.37,1.81,0.5,24,18,30,黑体,300,6270fa6496f14ef90e103902
1.81,0.5,3.54,0.28,32,22,35,黑体,300,6270fa6596f14ef90e103903
6.85,0.13,4.12,0.24,26,24,48,黑体,300,6270fa6c96f14ef90e103904
2,0.5,2,0.5,24,18,30,黑体,300,6270fa6d96f14ef90e103905
1.81,0.5,3.02,0.33,24,27,30,黑体,300,6270fa7796f14ef90e103906
1.81,0.5,2.39,0.4,26,25,37,黑体,300,6270fa7e96f14ef90e103907
1.01,0.73,1.81,0.5,100,99,30,黑体,300,6270fa8b96f14ef90e103908
2.2,0.43,2.35,0.41,24,18,30,黑体,300,6270fa9096f14ef90e103909
1.01,0.73,1.81,0.5,100,99,30,黑体,300,6270faa496f14ef90e10390a
2.65,0.37,2.35,0.41,74,83,30,宋体,300,6270faa496f14ef90e10390b
1.81,0.5,1.81,0.5,28,27,42,行楷,700,6270faa896f14ef90e10390c
5.41,0.18,3.08,0.32,26,22,36,黑体,300,6270fab196f14ef90e10390d
7.31,0.12,5.13,0.19,43,46,48,黑体,700,6270fac396f14ef90e10390e
14.8,0.03,8.43,0.1,36,33,62,黑体,300,6270face96f14ef90e10390f
